priority,wave,status,jobId,modelId,variant,category,family,variantSubject,purpose,targetPolygons,referenceImage,canonicalIncoming,canonicalProcessed,donorOwns,engineOwns,expectedProceduralReplacements,acceptanceFocus,meshyPrompt
131,V3-B,queued,M003-B,M003,B,natural,Climbable rock-step cluster,narrow switchback climb,Natural footholds that can become a short alternate access route when aligned to the 2.5-foot height ladder.,700,reference-images/M003-B-climbable-rock-step-cluster-v1.png,incoming/M003-B-climbable-rock-step-cluster-smart-700.glb,processed/M003-B-climbable-rock-step-cluster-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the narrow switchback climb","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy climbable rock-step cluster donor for Genesis. Variant: narrow switchback climb. Functional purpose: Natural footholds that can become a short alternate access route when aligned to the 2.5-foot height ladder. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the narrow switchback climb. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M004-B,M004,B,natural,Embedded retaining transition,foundation-wrapping outcrop,"Rock mass that visually reconciles a procedural wall, terrace, road shoulder, or foundation with natural terrain.",800,reference-images/M004-B-embedded-retaining-transition-v1.png,incoming/M004-B-embedded-retaining-transition-smart-800.glb,processed/M004-B-embedded-retaining-transition-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the foundation-wrapping outcrop","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy embedded retaining transition donor for Genesis. Variant: foundation-wrapping outcrop. Functional purpose: Rock mass that visually reconciles a procedural wall, terrace, road shoulder, or foundation with natural terrain. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the foundation-wrapping outcrop. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M005-B,M005,B,natural,Wide cave mouth with reveal,split-boulder mouth,"A readable entrance large enough for ordinary encounters, with enough depth to avoid a flat painted hole.",1200,reference-images/M005-B-wide-cave-mouth-with-reveal-v1.png,incoming/M005-B-wide-cave-mouth-with-reveal-smart-1200.glb,processed/M005-B-wide-cave-mouth-with-reveal-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the split-boulder mouth","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy wide cave mouth with reveal donor for Genesis. Variant: split-boulder mouth. Functional purpose: A readable entrance large enough for ordinary encounters, with enough depth to avoid a flat painted hole. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the split-boulder mouth. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M006-B,M006,B,natural,Narrow cave squeeze,low crawl-like squeeze,"Compressed portal that communicates single-file passage, risk, and concealment.",900,reference-images/M006-B-narrow-cave-squeeze-v1.png,incoming/M006-B-narrow-cave-squeeze-smart-900.glb,processed/M006-B-narrow-cave-squeeze-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the low crawl-like squeeze","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy narrow cave squeeze donor for Genesis. Variant: low crawl-like squeeze. Functional purpose: Compressed portal that communicates single-file passage, risk, and concealment. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the low crawl-like squeeze. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M007-B,M007,B,natural,Tunnel throat and rib mass,root-bound throat,Short organic transition from an entrance into an interior bore without requiring a full generated cave.,1000,reference-images/M007-B-tunnel-throat-and-rib-mass-v1.png,incoming/M007-B-tunnel-throat-and-rib-mass-smart-1000.glb,processed/M007-B-tunnel-throat-and-rib-mass-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the root-bound throat","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy tunnel throat and rib mass donor for Genesis. Variant: root-bound throat. Functional purpose: Short organic transition from an entrance into an interior bore without requiring a full generated cave. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the root-bound throat. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M008-B,M008,B,natural,Interior ledge and shelf,narrow defensive ledge,"Natural raised surface suitable for cover, nest placement, treasure, an authority position, or an alternate route.",800,reference-images/M008-B-interior-ledge-and-shelf-v1.png,incoming/M008-B-interior-ledge-and-shelf-smart-800.glb,processed/M008-B-interior-ledge-and-shelf-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the narrow defensive ledge","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy interior ledge and shelf donor for Genesis. Variant: narrow defensive ledge. Functional purpose: Natural raised surface suitable for cover, nest placement, treasure, an authority position, or an alternate route. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the narrow defensive ledge. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M009-B,M009,B,natural,Collapse cone and talus ramp,long talus fan,"Debris mass that can be collision-climbable, difficult terrain, blocked terrain, or a source-facing failure trace.",800,reference-images/M009-B-collapse-cone-and-talus-ramp-v1.png,incoming/M009-B-collapse-cone-and-talus-ramp-smart-800.glb,processed/M009-B-collapse-cone-and-talus-ramp-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the long talus fan","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy collapse cone and talus ramp donor for Genesis. Variant: long talus fan. Functional purpose: Debris mass that can be collision-climbable, difficult terrain, blocked terrain, or a source-facing failure trace. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the long talus fan. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M010-B,M010,B,natural,Dripstone cluster,tall narrow columns,Stalagmites and fused columns that create readable natural cover without tiny spikes.,700,reference-images/M010-B-dripstone-cluster-v1.png,incoming/M010-B-dripstone-cluster-smart-700.glb,processed/M010-B-dripstone-cluster-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the tall narrow columns","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy dripstone cluster donor for Genesis. Variant: tall narrow columns. Functional purpose: Stalagmites and fused columns that create readable natural cover without tiny spikes. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the tall narrow columns. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M011-B,M011,B,natural,Root arch and burrow mouth,twisted narrow burrow,Large interlocked roots that create a creature-authored or tree-owned entrance.,900,reference-images/M011-B-root-arch-and-burrow-mouth-v1.png,incoming/M011-B-root-arch-and-burrow-mouth-smart-900.glb,processed/M011-B-root-arch-and-burrow-mouth-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the twisted narrow burrow","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy root arch and burrow mouth donor for Genesis. Variant: twisted narrow burrow. Functional purpose: Large interlocked roots that create a creature-authored or tree-owned entrance. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the twisted narrow burrow. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M012-B,M012,B,natural,Root tunnel rib cluster,tangled asymmetric ribs,"Repeating large roots that explain a burrow interior, organic cover, or the sides of a body-authored route.",900,reference-images/M012-B-root-tunnel-rib-cluster-v1.png,incoming/M012-B-root-tunnel-rib-cluster-smart-900.glb,processed/M012-B-root-tunnel-rib-cluster-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the tangled asymmetric ribs","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy root tunnel rib cluster donor for Genesis. Variant: tangled asymmetric ribs. Functional purpose: Repeating large roots that explain a burrow interior, organic cover, or the sides of a body-authored route. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the tangled asymmetric ribs. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M013-B,M013,B,natural,Sinkhole or shaft rim,irregular fissure rim,Natural or partly worked perimeter that turns an engine-owned hole into a convincing hazardous opening.,800,reference-images/M013-B-sinkhole-or-shaft-rim-v1.png,incoming/M013-B-sinkhole-or-shaft-rim-smart-800.glb,processed/M013-B-sinkhole-or-shaft-rim-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the irregular fissure rim","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy sinkhole or shaft rim donor for Genesis. Variant: irregular fissure rim. Functional purpose: Natural or partly worked perimeter that turns an engine-owned hole into a convincing hazardous opening. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the irregular fissure rim. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M014-B,M014,B,natural,Pool and channel rock rim,narrow channel bank,"Reusable rock edge for springs, cave pools, mine sumps, drains, and water-owned route boundaries.",800,reference-images/M014-B-pool-and-channel-rock-rim-v1.png,incoming/M014-B-pool-and-channel-rock-rim-smart-800.glb,processed/M014-B-pool-and-channel-rock-rim-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the narrow channel bank","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy pool and channel rock rim donor for Genesis. Variant: narrow channel bank. Functional purpose: Reusable rock edge for springs, cave pools, mine sumps, drains, and water-owned route boundaries. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the narrow channel bank. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M015-B,M015,B,natural,Ore-seam outcrop,vertical vein,Rock face with broad readable mineral bands that can be recolored without changing geometry.,700,reference-images/M015-B-ore-seam-outcrop-v1.png,incoming/M015-B-ore-seam-outcrop-smart-700.glb,processed/M015-B-ore-seam-outcrop-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the vertical vein","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy ore-seam outcrop donor for Genesis. Variant: vertical vein. Functional purpose: Rock face with broad readable mineral bands that can be recolored without changing geometry. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the vertical vein. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M016-B,M016,B,natural,Spoil and tailings pile,sorted tailings rows,"Human-made aggregate mass for mine, construction, siege, urban recovery, and abandoned-site histories.",700,reference-images/M016-B-spoil-and-tailings-pile-v1.png,incoming/M016-B-spoil-and-tailings-pile-smart-700.glb,processed/M016-B-spoil-and-tailings-pile-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the sorted tailings rows","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy spoil and tailings pile donor for Genesis. Variant: sorted tailings rows. Functional purpose: Human-made aggregate mass for mine, construction, siege, urban recovery, and abandoned-site histories. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the sorted tailings rows. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M017-B,M017,B,natural,Crystal or strange-mineral growth,tall blade cluster,Restrained cool-light candidate that reads as geology first and magic second.,800,reference-images/M017-B-crystal-or-strange-mineral-growth-v1.png,incoming/M017-B-crystal-or-strange-mineral-growth-smart-800.glb,processed/M017-B-crystal-or-strange-mineral-growth-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the tall blade cluster","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy crystal or strange-mineral growth donor for Genesis. Variant: tall blade cluster. Functional purpose: Restrained cool-light candidate that reads as geology first and magic second. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the tall blade cluster. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
131,V3-B,queued,M018-B,M018,B,natural,Nest and larder substrate,mud-and-root bowl,"Volumetric organic bed that can accept bones, eggs, hides, food, treasure, or creature traces as separate attachments.",800,reference-images/M018-B-nest-and-larder-substrate-v1.png,incoming/M018-B-nest-and-larder-substrate-smart-800.glb,processed/M018-B-nest-and-larder-substrate-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the mud-and-root bowl","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy nest and larder substrate donor for Genesis. Variant: mud-and-root bowl. Functional purpose: Volumetric organic bed that can accept bones, eggs, hides, food, treasure, or creature traces as separate attachments. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the mud-and-root bowl. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
132,V3-C,queued,M001-C,M001,C,natural,Low cover boulder cluster,split/scattered cluster,Compact two-to-four-stone mass that clearly supplies half cover without sprawling across a route.,400,reference-images/M001-C-low-cover-boulder-cluster-v1.png,incoming/M001-C-low-cover-boulder-cluster-smart-400.glb,processed/M001-C-low-cover-boulder-cluster-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the split/scattered cluster","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy low cover boulder cluster donor for Genesis. Variant: split/scattered cluster. Functional purpose: Compact two-to-four-stone mass that clearly supplies half cover without sprawling across a route. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the split/scattered cluster. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
132,V3-C,queued,M002-C,M002,C,natural,Tall cover outcrop,sheared top,Narrow upright rock mass providing three-quarter cover and a strong height landmark.,700,reference-images/M002-C-tall-cover-outcrop-v1.png,incoming/M002-C-tall-cover-outcrop-smart-700.glb,processed/M002-C-tall-cover-outcrop-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the sheared top","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy tall cover outcrop donor for Genesis. Variant: sheared top. Functional purpose: Narrow upright rock mass providing three-quarter cover and a strong height landmark. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the sheared top. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
132,V3-C,queued,M003-C,M003,C,natural,Climbable rock-step cluster,eroded partial climb,Natural footholds that can become a short alternate access route when aligned to the 2.5-foot height ladder.,700,reference-images/M003-C-climbable-rock-step-cluster-v1.png,incoming/M003-C-climbable-rock-step-cluster-smart-700.glb,processed/M003-C-climbable-rock-step-cluster-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the eroded partial climb","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy climbable rock-step cluster donor for Genesis. Variant: eroded partial climb. Functional purpose: Natural footholds that can become a short alternate access route when aligned to the 2.5-foot height ladder. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the eroded partial climb. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
